Date,Country,TotalConfirmed,TotalActiveCases,TotalDeaths,TotalRecovered
2020-08-31,Afghanistan,38162,7671,1402,29089
2020-08-31,Albania,9380,3961,280,5139
2020-08-31,Algeria,44146,11667,1501,30978
2020-08-31,Andorra,1124,169,53,902
2020-08-31,Angola,2624,1454,107,1063
2020-08-31,Antigua and Barbuda,94,0,3,91
2020-08-31,Argentina,408426,105962,8457,294007
2020-08-31,Armenia,43750,5223,877,37650
2020-08-31,Australia,25746,3980,652,21114
2020-08-31,Austria,27166,3363,733,23070
2020-08-31,Azerbaijan,36309,2075,531,33703
2020-08-31,Bahamas,2167,1335,50,782
2020-08-31,Bahrain,51574,2731,189,48654
2020-08-31,Bangladesh,310822,104667,4248,201907
2020-08-31,Barbados,173,21,7,145
2020-08-31,Belarus,71687,559,676,70452
2020-08-31,Belgium,85042,56733,9894,18415
2020-08-31,Belize,993,863,13,117
2020-08-31,Benin,2145,367,40,1738
2020-08-31,Bhutan,224,84,0,140
2020-08-31,Bolivia,115968,52505,4966,58497
2020-08-31,Bosnia and Herzegovina,19793,6234,598,12961
2020-08-31,Botswana,1633,1403,6,224
2020-08-31,Brazil,3862311,503868,120828,3237615
2020-08-31,Brunei Darussalam,144,2,3,139
2020-08-31,Bulgaria,16190,4264,613,11313
2020-08-31,Burkina Faso,1357,244,55,1058
2020-08-31,Burundi,445,87,1,357
2020-08-31,Cambodia,273,8,0,265
2020-08-31,Cameroon,19142,1080,411,17651
2020-08-31,Canada,129875,5252,9163,115460
2020-08-31,Cape Verde,3852,945,40,2867
2020-08-31,Central African Republic,4700,2855,61,1784
2020-08-31,Chad,1012,57,77,878
2020-08-31,Chile,409974,16146,11244,382584
2020-08-31,China,89895,627,4722,84546
2020-08-31,Colombia,607904,137932,19363,450609
2020-08-31,Comoros,423,17,7,399
2020-08-31,Congo (Brazzaville),3979,2159,78,1742
2020-08-31,Congo (Kinshasa),10045,684,258,9103
2020-08-31,Costa Rica,39699,23544,418,15737
2020-08-31,Croatia,10123,2727,184,7212
2020-08-31,Cuba,3973,552,94,3327
2020-08-31,Cyprus,1487,532,20,935
2020-08-31,Czech Republic,24367,6397,423,17547
2020-08-31,Côte d'Ivoire,17948,1280,115,16553
2020-08-31,Denmark,17316,1200,624,15492
2020-08-31,Djibouti,5385,6,60,5319
2020-08-31,Dominica,20,2,0,18
2020-08-31,Dominican Republic,94241,25784,1681,66776
2020-08-31,Ecuador,113648,5473,6555,101620
2020-08-31,Egypt,98727,21208,5399,72120
2020-08-31,El Salvador,25635,10909,713,14013
2020-08-31,Equatorial Guinea,4941,974,83,3884
2020-08-31,Eritrea,318,34,0,284
2020-08-31,Estonia,2373,221,64,2088
2020-08-31,Ethiopia,51122,31947,793,18382
2020-08-31,Fiji,28,3,2,23
2020-08-31,Finland,8077,542,335,7200
2020-08-31,France,315813,198707,30611,86495
2020-08-31,Gabon,8505,1265,53,7187
2020-08-31,Gambia,2963,1835,96,1032
2020-08-31,Georgia,1469,229,19,1221
2020-08-31,Germany,243305,18722,9300,215283
2020-08-31,Ghana,44205,1152,276,42777
2020-08-31,Greece,10134,8525,262,1347
2020-08-31,Grenada,24,0,0,24
2020-08-31,Guatemala,73912,9491,2740,61681
2020-08-31,Guinea,9371,925,59,8387
2020-08-31,Guinea-Bissau,2205,1044,34,1127
2020-08-31,Guyana,1234,511,36,687
2020-08-31,Haiti,8209,2180,201,5828
